,Mask_mAP@0.5,Mask_mAP@0.5:0.95,Precision,Recall,F1-Score,Speed_FPS,Params_M,Train_Time,Memory_GB
yolov8n-seg,0.9204545523586989,0.7292962614517411,0.8215731354655391,0.8622327790973872,0.8414120436298449,124.9900200525216,3.258259,3146.6134753227234,3.604030132293701
yolo11n-seg,0.9173303506417196,0.7231081028029047,0.8356340145716382,0.8551068883610451,0.8452583134051638,144.08873801569288,2.834763,3342.644416809082,3.604030132293701
YOLOv12n-seg,0.02448592100864159,0.006304835717303376,0.5545905143658045,0.425887544692039,0.48179189792316035,93.9381077886729,2.809339,1754.8791542053223,3.604030132293701
